length,err_percent,errors,total,combined_bits,tokens_gen,tokens_spam
5,33.333333333333336,1,3,6.80281,0,1
8,100.0,1,1,9.01896,0,1
9,50.0,1,2,9.315815,1,1
10,50.0,1,2,10.70066,1,1
11,100.0,1,1,11.01596,0,1
14,0.0,0,1,10.14395,0,1
16,50.0,1,2,10.06203,1,1
18,0.0,0,1,10.13659,0,1
20,0.0,0,2,9.755345,1,1
21,0.0,0,1,10.49778,1,0
22,0.0,0,1,10.04175,1,0
23,0.0,0,1,10.00525,0,1
24,0.0,0,3,10.23573,1,0
25,0.0,0,1,10.24885,1,0
27,0.0,0,2,9.77067,1,0
28,0.0,0,1,10.74985,1,0
29,0.0,0,1,10.59353,1,0
30,0.0,0,1,10.16879,1,0
33,0.0,0,1,10.98338,1,0
34,0.0,0,1,9.67735,1,0
35,33.333333333333336,1,3,10.51338,1,1
36,0.0,0,1,10.66867,0,1
37,0.0,0,1,10.4198,1,0
38,0.0,0,1,10.66496,1,0
39,0.0,0,1,10.31099,1,0
40,0.0,0,1,10.06343,1,0
44,0.0,0,1,9.11595,1,0
45,0.0,0,1,11.12642,1,0
47,0.0,0,2,10.30863,1,0
48,0.0,0,1,10.57982,1,0
50,0.0,0,2,9.89356,1,0
51,0.0,0,1,11.12099,1,0
52,100.0,1,1,11.01796,0,1
55,0.0,0,1,11.5257,0,1
56,0.0,0,1,11.21112,1,0
57,0.0,0,1,10.54872,1,0
59,0.0,0,1,9.92381,1,0
60,0.0,0,3,9.93819,1,0
62,100.0,1,1,11.4962,0,1
63,0.0,0,1,9.96814,1,0
64,0.0,0,1,10.11981,1,0
65,0.0,0,1,10.09966,1,0
66,0.0,0,3,10.06555,1,0
69,50.0,1,2,11.036639999999998,1,1
70,0.0,0,1,9.40813,1,0
71,0.0,0,1,10.02166,1,0
72,0.0,0,1,8.42258,1,0
73,100.0,1,1,11.24254,0,1
76,0.0,0,2,10.68156,1,0
78,50.0,1,2,10.787915,1,1
80,50.0,1,2,10.582365,1,1
81,0.0,0,1,10.72872,0,1
86,0.0,0,2,10.84344,1,0
87,100.0,1,1,11.33571,0,1
89,0.0,0,1,10.38211,0,1
90,0.0,0,1,10.72953,1,0
91,100.0,1,1,11.19621,0,1
92,50.0,1,2,10.336929999999999,1,1
93,0.0,0,1,10.85703,1,0
94,50.0,1,2,10.84117,1,1
95,0.0,0,2,10.6068,1,0
96,0.0,0,2,10.39485,1,0
97,0.0,0,1,10.59459,1,0
98,33.333333333333336,1,3,10.909945,1,1
101,0.0,0,1,10.71147,1,0
104,100.0,1,1,11.21948,0,1
106,0.0,0,1,10.79693,1,0
108,100.0,1,1,11.11378,0,1
109,100.0,2,2,10.9933,0,1
111,0.0,0,1,10.62431,1,0
113,0.0,0,1,10.24287,1,0
115,33.333333333333336,1,3,10.63112,1,1
116,50.0,1,2,10.439029999999999,1,1
117,0.0,0,1,10.95335,0,1
118,50.0,1,2,10.90246,1,1
120,0.0,0,1,9.88648,0,1
121,0.0,0,2,10.38184,1,0
124,66.66666666666667,2,3,10.40413,1,1
125,0.0,0,1,10.52449,0,1
128,0.0,0,2,10.46474,1,0
129,0.0,0,2,10.760674999999999,1,1
130,0.0,0,1,10.705,1,0
131,0.0,0,1,10.68182,1,0
132,0.0,0,1,10.11117,1,0
134,100.0,1,1,10.18863,0,1
135,0.0,0,1,9.04602,1,0
141,0.0,0,1,10.40794,1,0
142,0.0,0,1,11.00128,1,0
147,0.0,0,3,10.55781,1,0
149,0.0,0,1,10.73181,0,1
152,0.0,0,1,10.61032,1,0
153,0.0,0,1,10.09459,1,0
154,0.0,0,1,10.91457,1,0
159,0.0,0,2,10.47088,1,1
160,50.0,1,2,9.712330000000001,1,1
161,50.0,1,2,10.873665,1,1
163,0.0,0,1,9.03531,1,0
164,100.0,2,2,11.24341,0,1
165,100.0,1,1,10.60759,0,1
166,100.0,1,1,10.62391,0,1
168,0.0,0,2,10.59803,1,0
170,0.0,0,1,10.75193,1,0
173,0.0,0,1,11.22913,1,0
174,0.0,0,1,10.87618,1,0
175,100.0,1,1,11.22953,0,1
178,50.0,1,2,10.827645,1,1
180,100.0,2,2,11.18498,0,1
181,0.0,0,1,10.43786,1,0
183,100.0,1,1,11.1827,0,1
187,0.0,0,1,10.09815,1,0
190,0.0,0,1,10.24417,1,0
193,100.0,1,1,11.18997,0,1
195,50.0,1,2,10.62705,1,1
197,0.0,0,1,10.57576,1,0
198,0.0,0,1,7.87463,0,1
199,0.0,0,1,7.8588,0,1
200,100.0,1,1,11.05633,0,1
201,0.0,0,1,7.78008,0,1
203,100.0,1,1,11.05115,0,1
209,100.0,1,1,10.96158,0,1
211,0.0,0,1,10.70089,1,0
214,100.0,1,1,11.06874,0,1
218,0.0,0,1,10.35522,1,0
219,0.0,0,1,10.64624,0,1
220,100.0,2,2,10.84625,0,1
221,0.0,0,1,10.51928,1,0
222,0.0,0,1,10.67408,1,0
230,0.0,0,1,10.16543,1,0
231,0.0,0,1,10.90389,1,0
234,0.0,0,1,10.02194,1,0
236,0.0,0,2,10.55697,1,0
239,100.0,1,1,11.36787,0,1
240,0.0,0,1,9.7116,1,0
253,0.0,0,1,10.71849,0,1
257,50.0,1,2,10.72833,1,1
266,0.0,0,2,10.17153,1,0
267,0.0,0,1,10.91936,1,0
268,0.0,0,2,10.79811,1,0
272,100.0,1,1,11.22391,0,1
275,0.0,0,1,10.94079,1,0
276,0.0,0,1,9.52541,1,0
280,50.0,1,2,10.81551,1,1
283,0.0,0,2,10.79756,1,0
286,100.0,1,1,11.07513,0,1
290,0.0,0,1,10.80011,1,0
293,100.0,2,2,11.13114,0,1
299,0.0,0,1,8.4733,1,0
300,0.0,0,1,10.57807,1,0
302,0.0,0,2,10.70341,1,0
305,50.0,1,2,10.694585,1,1
316,0.0,0,1,10.60081,1,0
320,0.0,0,1,10.71693,1,0
322,0.0,0,1,10.15825,1,0
325,100.0,1,1,11.04534,0,1
327,0.0,0,1,10.24353,1,0
328,0.0,0,1,10.66536,1,0
331,0.0,0,2,10.71976,1,0
340,0.0,0,1,10.69464,1,0
345,0.0,0,2,10.49468,1,0
354,0.0,0,1,9.9013,1,0
363,0.0,0,1,10.81582,1,0
364,100.0,1,1,11.35579,0,1
368,0.0,0,1,10.6124,1,0
371,50.0,1,2,11.058805,1,1
404,0.0,0,1,10.9864,1,0
433,0.0,0,1,10.9216,1,0
445,0.0,0,1,10.961,1,0
447,0.0,0,1,10.17736,1,0
448,0.0,0,1,10.6294,1,0
449,0.0,0,1,11.10296,1,0
451,0.0,0,1,10.8975,1,0
457,100.0,1,1,11.21947,0,1
471,0.0,0,1,10.02952,1,0
481,100.0,1,1,10.93206,0,1
492,0.0,0,1,10.21011,1,0
526,0.0,0,1,10.43741,1,0
532,0.0,0,1,11.00735,1,0
551,0.0,0,1,10.11884,1,0
571,0.0,0,1,10.82073,1,0
587,100.0,1,1,10.68145,0,1
621,100.0,1,1,11.25504,0,1
643,0.0,0,1,10.86347,1,0
654,0.0,0,1,10.71504,1,0
660,0.0,0,2,10.62484,1,0
680,0.0,0,1,10.30978,1,0
700,0.0,0,1,9.81768,1,0
713,0.0,0,1,10.32903,1,0
766,100.0,1,1,9.757,1,0
833,0.0,0,1,9.93966,1,0
872,0.0,0,1,10.70118,1,0
953,0.0,0,1,10.83601,1,0
1026,0.0,0,1,10.31447,1,0
1050,0.0,0,1,10.31169,1,0
1071,0.0,0,1,10.83091,1,0
1158,100.0,2,2,10.9432,0,1
1165,0.0,0,1,10.33631,1,0
1208,0.0,0,1,9.75007,1,0
1209,0.0,0,1,10.59257,1,0
1290,0.0,0,1,10.22283,1,0
1355,0.0,0,1,10.43436,1,0
1388,0.0,0,1,10.46838,1,0
1715,0.0,0,1,10.72408,1,0
2262,100.0,1,1,11.19372,0,1
4063,100.0,1,1,11.23259,0,1
4516,100.0,1,1,10.92875,0,1
4635,100.0,1,1,11.19538,0,1
8185,0.0,0,1,8.82334,0,1
